Track,Artist,Album,URL,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Bloom - Bonus Track,The Paper Kites,Woodland,https://open.spotify.com/track/1HMQmOWrkieKYWlFsjUP3D,acoustic,0.591,0.416,-9.794,0.0246,0.882,0.000641,0.112,0.415,96.003
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA,acoustic,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96
Hold On,Chord Overstreet,Hold On,https://open.spotify.com/track/5vjLSffimiIP26QG5WcN2K,acoustic,0.618,0.443,-9.681,0.0526,0.469,0.0,0.0829,0.167,119.949
Paint,The Paper Kites,Young North,https://open.spotify.com/track/6uHvbKL0Yi37AuvNRmUfMw,acoustic,0.364,0.308,-13.052,0.0402,0.895,0.0023,0.123,0.387,73.328
Blister In The Sun,Violent Femmes,Violent Femmes,https://open.spotify.com/track/7jIAttgQTpLDoNtykIQXjH,acoustic,0.726,0.537,-8.896,0.114,0.316,0.0,0.0707,0.882,96.889
Love Song,Sara Bareilles,Little Voice,https://open.spotify.com/track/4E6cwWJWZw2zWf7VFbH7wf,acoustic,0.583,0.786,-3.142,0.0301,0.0208,0.0,0.188,0.573,123.055
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word (Deluxe Edition),https://open.spotify.com/track/53QF56cjZA9RTuuMZDrSA6,acoustic,0.483,0.303,-10.058,0.0429,0.694,0.0,0.115,0.139,133.406
Come On Get Higher,Matt Nathanson,Some Mad Hope,https://open.spotify.com/track/38YgZVHPWOWsKrsCXz6JyP,acoustic,0.672,0.623,-5.699,0.0297,0.241,0.0,0.0848,0.617,92.018
You Are the Best Thing,Ray LaMontagne,Gossip In The Grain,https://open.spotify.com/track/1jyddn36UN4tVsJGtaJfem,acoustic,0.578,0.727,-4.872,0.0332,0.0304,1.99e-05,0.172,0.885,170.593
Two Birds,Regina Spektor,Far,https://open.spotify.com/track/2n0U2OG5d6TuW5mKx7YrC0,acoustic,0.546,0.5,-8.881,0.0379,0.802,0.00108,0.107,0.449,150.92
Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8,afrobeat,0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999
People,Libianca,People,https://open.spotify.com/track/26b3oVLrRUaaybJulow9kz,afrobeat,0.573,0.422,-7.621,0.0678,0.551,1.31e-05,0.102,0.693,124.357
